text,label,score
kode otp gmail padahal gmail benar anehh,0,1
otp kirim padahal email bener,0,1
burik gubernur jelas masa kode otp,0,1
jelek daftar susah kayak cari kerja daftar mudah,0,1
mah nyari gawe susah bikin susah dapetin kode otp gamasuk email udh restar hp udh apain kaya makin sulit tinggal indonesia,0,1
paham usaha usaha bikin lowong ilangin nama batas umur usah jelasin banyak bahas waktu keluar pikir pikir kolot kayak gitu cukup umur pensiun perintah batas,1,4
kencet batal lamar lamar usaha batal,1,5
beberapa bagi edit pas save tulis error trus kan diijinkan buat akses ruang memori pas upload dokumen gimana,0,1
ijin notif verivikasi email pas buat akun padahal bener nulis alamat email nyangkut mana bom buat akun baik,0,2
lanjut lamar bulan tahu,0,1
ribet asli ngisi data banyak alam harga niat nolong nyari kerja benar meni lieur ih sumpah da,0,1
susah terima verifikasi otp email,0,1
apl bagus masuk akal misal ngasih reting buruk biasa buzzer apl samping,1,5
susah masuk data dah bener bilang salah uninstal,0,1
apa isi data baru daftar tolol,0,1
moga manfaat jawa barat istimewa,1,5
otp buat verif email gbisa,0,1
burik minta kode otp lewat email nunggunya menit muncul otp coba beberapa kali parah,0,1
maaf pak nyata lapang banyak pungli buat masuk pabrik,1,5
apk gk jelas,1,5
kalian kali nyari kerja sini buang memori hp doang,0,1
upload paklaeing malah minta izin padahal sdh izin,1,5
daftar tpi login gatal terus jelek,0,1
tau bpk kdm,1,5
huhuuu wartosan pa dedii sugan we aya miliknna,1,5
pas daftar akun kali ganti email kode otp muncul muncul sekarang,0,2
trimakasih pak bu,1,5
susah ganti password lupa nomer masuk salah terus padahal bener,0,1
aplikasi mutu dowload masuk selalu gagal tulisanya priksa flafraum padahal isi data data uda benar laporin ama kdm,0,1
teing nepi teuing hente lamar ka hrd na upload jpg hese pis kunaon euy loker na saeutik jeng loloba na karu lulus sma,0,1
pilih usaha minim banyak cv pt sedikit lamar jadi pns asn satu tanya lamar usaha lamar berapa persentase lamar lalu kembang edukasi prihal informasi system,0,2
gaada buat lulus sma,0,1
susah klau lulus ma doang walaupun alam tumpuk rata atas,1,4
sesuai jeung ngaran na nyari gawe nepi ka ayeuna keneh tetep nyari gawe da can aya gawean ngalamar gawe ti bulan oktober nepi ayeuna desember nyangkut we terus status na tolak hanteu riview ge hanteu ciga lowong formalitas hungkul padahal teu butuh pegawe,0,1
tiap login selalu kendala email pasword salah padahal benar puluh kali ganti pasword baru tetap login kendala sama kirim lakporkan kendala tatap tetap respon buat akun baru ubah nik solusi gimana login gin maaf bintang dlu fiks apknya,0,1
guna usah buka loker sini formalitas terus didik tinggi apa cukup pake ktp skil mampu bidang tentu gaji umr sistem ribet walaupun pake beri mudah pihak cari loker,0,1
padahal kdm rekomendasi nyari kerja sini mana hasil,0,1
izin upload foto evaluasi pas buat cv foto malah ilang padahal sinyal bagus,0,2
jelas pencaker jawa tengah kaga daftar usaha bekas najis najis,0,1
micenan anggar hungkul naon iyeu cik atuh nu baleg nyieun teh wargi nu babar persyaratana harga sakab ijazah atuh,0,1
bug dulu kapan baik upload berkas utama file manager susah buat upload,0,1
umur batas maksimal,1,4
bagus cuma lowong kerja bnyak daerah purwakarta daerah bogor depok sedikit cma tambah spesifikasi tinggi lulus dlihat dr skill mampu tp dlihat dr status latar belakang didik payah baik,0,1
selalu login ulang tiap buka pake sidik jari bagi alam beberapa lain kategori wajib rada susah buat lulus baru daftar kerja selalu tampil cari maupun saran,0,2
baru daftar tetap kode verifikasi guna email yg sama kode verifikasi,1,5
kode otp masuk padahal alamat email bener,0,1
bintang dulu verifikasi email lama,0,1
bantu masyarakat jabar,1,5
filtur nik ganti nik salah ganti baik filturnya maklum salah ngetik ajh,0,2
bismillahirrahmanirrahim bintang dulu moga rejeki karier tunjang butuh keluarga sini aamiin,1,5
proses data lama kunjung selesai,0,1
cara daftar susah pasu nomernya selalu terus,0,1
belum mudah pencaker heran syarat atas usia umur deskripsi bawah usia sampe pas apply maaf baik jelas alam tahun tahun apply kadang buat gedek syukur nemuin loker pas apply maaf belum trimakasih,0,2
daftar pas foto ktp langsung hp otomatis muncul blitz hasil gagal terus,0,1
lowong cuma ni,0,1
camat blum kumplit,0,1
ampun pdahal tadi download liat rating sama ulas miris kali download moga depan baik kurang,0,2
bagus sekali bantu,1,5
duh apa nyari gawe apa digawein install jelas payah,0,1
bantu baik riwayat log in waktu masuk ketik ulang email passwordnya mungkin bis bikin login pakai sidik jari riwayat log in simpan otomatis,1,5
si bagus alamat tambahin domisili jangan ngambil ktp soal ktp kuningan tinggal hidup lama cirebon banyak usaha guna gawe loker makin banyak satu masuk apk login aman bug saran buat jangan login ribet trimakasih,1,4
kode otp email lama hampir jam muncul muncul,0,1
aneh buka loker manager semua emg tiap bulan manager ganti yaa usaha ngasih loker kaya dar formalitas aneh,0,1
camat lurah desa rancaudik lengkap verifikasi terlalu lama nungguin sngt kacau,1,5
kode otp mulu,0,1
upload cv dokumen padahal minta dr mudah malah bsa upload baik adakan live chat bantu tanya operator,0,1
awal luncur sekarang alhamdulillah panggil kerja padahal tiap hari lamar kerja feedback usaha lamar ngisi data diri ribet terlalu banyak lampir kerja indo syarat kyk kerja gaji jt bln beda luar negri cukup ktp cv modal buat lamar fisik jg cukup besar rakyat biasa kali berapa lamar utk bbrp usaha miriiiss indo yg kaya raya,0,1
kode verifikasi otp muncul muncul mail padahal mail cantum benar,0,2
apk bantu harap semua usaha meng update lowong apk mudah lamar,1,5
real comment bener jelas guna bulan bantu sama sekali isi data terlalu banyak ngelamar kerja pernah progres mana sulit guna jauh kata layak,0,1
pak cari lowong byd ko ketemu link informasi lamar lewat apk nyari gawe cari cari ko,1,4
apa ktanya jabar istimewa info loker kapal cumi yg smua orang tau kapal cumi banyak yg ilegal lowong dlm sdikit paling loker ajah kira wort nyoba kirim lamar udh sbulan pas liat status lamar boro lihat minimal inimah buset auto hapus ajh aplikasi kyanya mnurut,0,1
buat kuli bangun serabutan jenis susah karna banyak sekali kriteria nalam kerdja pt jabata apa apa raih banyak kuli ajah kaya biarpun gaji ribu asal makan,0,1
daftar email aktif benar ganti coba kali kali gada respon apa,0,1
baru daftar akun susah kode otp padahal nunggu menit pas coba sama gitu terus tengah jam nunggu menit kali coba kode otp masuk masuk,0,1
loker biji sedikit,0,1
coba coba download jauh sedikit lowong kerja banyak usaha baru diri pabrik hotel tekan usaha rekrut asli darah jawa barat loker lbih bnyk jauh rantau brkontribusi daerah sendiri jawa barat istimewa,0,2
hayu weh lamar kirim teu deuleu acan ku hrd perusahaana ciga nu teu niat ngayakn loker,0,1
apknya ribet kaya apk tampil mudah erti tampil bagus minus lamar panggil hehehe,1,5
verifikasi otp masuk email daftar baru kali susah tetep masuk warnet sama masuk,0,1
guna aplikasi pak kirim alamat lurah camat akses,0,1
susah terus pas buat akun kode otp kirim terus email,0,2
daftar aku susah buat dapetin otp padahal email bener otpnya gabisa masuk nyoba kali kali jg ttp sama gimana,0,2
masuk masuk email duhh,0,2
banyak fitur yg masalah ndak upload berkas simpan perangkat,0,2
login password email selalu salah padahal coba direset beberapa kali tetap login,0,2
emang siap pakai massal jangan dulu naik production buat developer kode otp buat akun baru susah kaga minimal qa dulu bener gimana developer,0,1
eror server pas isi skill baik,0,1
sertifikat harga upload segera pembaharuanya,1,5
aduh pak kdm nama mudah tp sama sama apk sulit cari kerja yah ngerti buat report masyarakat apa yg laku perintah jabar laku maaf fakta bazzer benci kdm,0,1
tetep punya ijazah susah,0,1
apa perintah selalu minta login pas buka knp biar terlogin walaupun tutup kaya aneh banyak ikut atur lokernya aneh tega hukum contoh batas usia tinggi badan,1,4
kode otp lama gimna,0,1
keluar kode otp padahal ganti email tetap keluar kode otp banyak rasa,0,2
kode otp susahnyeee,0,1
otp woi otp request otp jm mlm kirim jam mlm udh gitu masa laku cuma menit buat apa kirim udh kadaluarsa ari cageur,0,1
otp telat hari masuk email,0,1
gimana nyimpen data izin padahal udh izin kata nyari gawe nyari masalah mereun mah baik developer bug,0,1
maaf pak bu izin tanya daftar akun permanen hapus jikalau hapus akun informasi,1,5
keluar halaman loker malah refresh atas scroll bawah mentok refresh ulang atas capek bang scroll atas kata ribu loker mending pake sistem halaman tampil sekian loker enak gaperlu scroll lama,0,1
langsung masuk beranda profil yah maaf kesel masuk make no hp email dulu terus masukin password barusan masukin no hp email password kendala kata password salah email salah bikin simpel masuk tinggal beranda profil jangan daftar ulang padahal ngecek riwayat lamar sampe mana baik masalah masalah wajar klo apk baru,0,1
ttep si meski nglamarewat sini jarang panggil,1,5
baik log out otomatis,1,5
aduh pak kdm maha ieu tim nu nyien na piraku apk plat merah kos kie eleh kunu apk orang,0,1
padahal jelas daftar nik gilir login gabisa ganti password beberapa kali tetep gabisa kaya siap heran tauu perintah niat baik cuma kaya gin sama boong,0,1
tiap upload dokumen selalu minta izin akses galeri padahal izin semua baik,0,1
kendala upload dokumen perlu autentifikasi,1,5
development jago buat masa login terus masuk gajelas ni desain enak liat paan ni,0,1
aplikasi banyak masalah upload gambar men search kerja,0,1
gajelas hapus hapus,0,1
mas susah keluar login,0,1
hadeuh kirain mang dedi luncur apk bantu serius cegah pungli apk cacad poooll,0,1
banyak lokernya,0,1
orang jawa barat nganggur malu dulur peduli utama kdm,1,5
login susah bner salah email sama sandi terus,0,1
gimana pak gubernur kerja lembaga sedia kerja jelek masa keluar terus masuk terus nulis email password sekarang tottaly login padahal email password benar sistem deteksi salah,0,1
multitasking dah keren tampil luar biasa beberapa yg kurg baca pengalamn kerja seeprti tahun kerja bagaimana kurg bawah th susah info kerja log in bagusny baharu ada kenal otomatis sidik jari biar bantu guna repot repot masuk user password kala guna apl sebut,1,5
bukan mudah malah bikin sulit utk lamar selalu patok umur sama didik kapan maju indonesia anggur lamar kerja susah,0,1
tolol mana ath yeh pak dedi mulyadi cenah rek ngabantos susah kiyeu rek ngasupkeun data oge ah payah,0,1
beri kerja blm banyak yg guna aflikasi milik pemprov jabar lihat cek cek banyak yg guna sosmed saran tekan kan beri kerja perintah jawa barat kdm,1,5
kes aplikasi asal buat izin galeri terus ditanyain padahal semua izin tuju,0,1
lengkap semua lurah camat lengkap,0,1
pasti nyari lamar kerja jawa barat yg muncul jakarta jls,0,1
lamar segera do review hrd,1,5
kode otp lama klau menit,0,1
nungguin kode puluh abad kaga muncul muncul jir,0,2
pak dedi yeuh pa dedi nyari gawe eror wae,0,1
burik lokasi udh aktif ttp gmn mw daftar bodong tipu,0,1
semenjak download hp sering popup iklan,0,1
login masuk susah minta ampun,0,1
maha ieu pak dedi teu upload file na gagal wae asup keun ka barak we pak dedi nyieun na lieur ieu ti isuk isuk nepi magrib acan wae omat pak dedi nyieun na asup keun ka barak we pak dedi teu pak dedi,0,1
good job,1,5
ngga jelas,0,1
tiap lowong sesuai kualifikasi sesuai gabisa ngirim lamar mal tahun alam minimal minimal maksimal pabelit ku minimal indonesia teh,0,1
teu tiasa login tos sagala rupi cara teu masih otp,0,1
apk mutu sy yakin semua yg download apk blum dpt manfaat apa blm yg dpt kerja buang waktu kuota worth it,0,1
baik sistem login masa tiap buka login ulang,1,5
baik masa lamar pernah,0,1
apk baik lamar kendala pilih alam kerja fresh graduate,0,1
otp susah masuk aplod dokumen mental menu login,0,1
bikin kirim lamar batal susah salah cv gabisa kirim ulang lamar,0,1
buat peribadi sama tetangga lain cuma yg beda tampil apk manfaat penting tetap cari lapang kerja susah,0,1
terlalu rumit terlalu banyak minta data pribadi bahaya takut disalahgunakan,0,1
dar daftar banyak bug,0,1
kode otp muncul terus padahal ngisi lengkap,0,1
gimna yah bbrpa hari bikin akun masa gagal terus selalu mncul notif gagal kirim otp pdahal nomer wa bener dam aktif email sma bner smbil buka email ttp msuk dftr bbrpa kli ttp mncul notif gagal kirim otp gnti email sama bener apk pdahl perintah jelas,0,1
reset password nggk masuk trus notif email baik klo kendala kaya perintah ngerubah pasword nggk notif trus,0,1
lupa password masuk udh minta reset password gmail pesan masuk gmail baik,0,2
tiap buka terus an login,1,4
gimn login padahal mail sama kata sandi ny dah bener,0,1
payah masuk mulu padahl udh benr,0,1
ripuh ah teh daftar ge hesee,0,1
alam kerja wajib isi yg pernah kerja bagaimana kenpa da respon,1,5
gimana aplikasi kata mudah cari kerja bikin susah masukin kota sama camat muncul nama kota baik,0,1
awal download apl sekarang ngirimin lamar semua pt buka loker satu nyangkut malah lewat tanggal rekruitmen ngeliat lamar aju apl bener ngasih lamar,0,2
isi data alamat kasihan pak dedi bohongin bikin,0,1
citra doang nyata,0,1
respon ui lambat stuck registrasi otp masalah server respon time perintah masa kalah sama yg ribu,0,1
apk mutu nerima otp nyesel daftar saran jangan download,0,1
ampun banyak bug upload dokument susah coba luncur baik uji lebih kecewa,0,1
lupa kata sandi rubah link email udh gitu tetep gabisa awal tp pas dua konfirmasi tulis valid pdhl sandi sama udh gitu cek masuk sandi baru ttp gbisa gmna soal sangkut paut sm nik,0,1
baik banyak bug gk uplod ahli,1,5
wouy nmnya apps bru miniml lu ksih rate bgus kek dukung bntuan dri kdm,1,5
baik upload file dokumen padahal izin kan buat akses situ sampe keselll gimana yaa ganti bintang,0,2
pa dedi aplikasi jelek pa dedi,0,1
otp masuk,0,1
hadeuhh apk buat perintah gin banyak kurang gua otp masuk masuk hayo tebak anggar,0,1
update benar upload surat alam kerja terus padahal izin aplikasi aktif semua baik,0,1
tulis alam gagal terus pdhl ukur foto alam kerja kb mas tetap,0,2
upload file,1,4
niiii banyak bngt bug apk,0,2
masa gabisa upload file padahal izin semua baik hadeuuuh,0,2
ko isi data propinsi kota camat lurah data not pound donk baik,0,1
sayang banyak anak muda loker buat tulang punggung keluarga jauh baik sekali loker driver ijazah sma jarang driver lama yg lulus sma,1,4
not recommended,0,1
aplikasi bagus fast respon makasih banyak bapak aing,1,5
bagus cuma tambah fitur daerah lowong kerja mana lamar tambah fitur domisili tau pa kdm info loker hehe,1,5
kerja sini,0,1
sulit masuk,0,1
banyak baik buat daftar bagi alamat prov kota kec malah kga muncul,0,1
fitur banyak bug sulit daftar akun,0,1
selalu gagal setiapau login,0,2
buat akun baru sulit baik,0,1
ngisi provinsi,0,1
daftar ribet lot minta ampun gagal mulu,0,1
gimana daftar orang pas ngisi data provinsi selalu tulis no data terus gimana selesai daftar coba kolom provinsi terang wajib isi data terus pas isi tuh,0,1
butut ning rek login ge teu,0,1
form suruh ngisi alamat provinsi kota lurah nyata isi gimna pak bu,0,2
bagus aplikasi saking bagus banyak bug luar nalar baru isi form daftar ribet hadeh,0,1
baik apk banyak kendala daftar akun,0,1
gabisa isi bagi provinsi kabupaten,0,1
coba daftar akun cari kerja malah mulu,0,1
gimna pas bikin akun lanjut terus provinsi isi pas klik muncul muncul plihan provinsi ayo perintah masa kalah terus sama swasta,0,1
login padahal password masuk benar coba reset password kirim email coba kirim lapor kendala kirim gimana kelas biaya perintah masa coba buat gimana cara masuk semua coba,0,1
aplikasikya kayak cuma buat citra sistem sering eror moga anggar gede mubazir,0,1
apa kata mudah pencaker bikin susah segala masukin alamat padahal apk perintah bagus apk yng orng bikin anggar yng besar baik bug search provinsi kabupaten menu daftar akun,0,1
pakai bulan sekarang login email sandi salah padahal dulu pakai email sandi,0,1
perlu banyak baru aplikasi lengkap,0,1
login kali kali email password bener selalu salah mata,0,1
baik ngisi data diri susah bener dapatin pekerjaanya ngisi provinsi kabupaten camat lurah no data found isi,0,1
udh daftar udh ngelamar tpi stiap kluar apk hrus login sampe skrng login nggk gara salah pasword pdahal udh masukin yg bnr masa daftar percuma donk ngelamar klo malah daftar jdi ilang lamar yg pertama pdahal harap notif panggil kerja baik mnta bantu reset pasword ge salah mulu email ama no hpny pdahal udh bnr,0,2
maha iye teh manya masuk teu email sama password bener malah tulis email password salah error ta maha iye kakara ge poe geus kawas kiye teh kecewa yakin euy,0,1
masuk daftar,0,1
aneh ko masukin provinsi kabupaten lurah ngawur,0,2
sistem recruitment jelas tindak lanjut pihak recruitment pihak kait,0,1
baik upload dokumen terus minta ijin padahal beri akses ijinkan uninstall download ulang lama turut ubah lihat ulas banyak teman teman alami rupa baik pak,0,2
sama kaya yg lain banyak tu lokernya cari lokernya semua isi sama,0,1
apa izin padahal izin kan semua tetep upload,0,1
download ko daftar,0,1
masuk susah veritivikasi gk udhlah mmang susah cari kerja,0,1
kode otp gaada masuk email gimana gabisa masuk,0,1
kode otp masuk masuk email,0,1
loker na sepi,0,1
siga nu teu niat mere gawe meni heseeeeeee pis ges isi dokumen wae teu bsa ka akses maha ieu teh,0,1
lowong kerja sedikit sekali kata target ribu hitung jari usaha kerja sama buat kdm provinsi mampu buat banyak lowong kerja omong ribu loker,1,5
memang bagus bp kdm buat nyari gawe sayang kurang update masalah usaha yg nyari karyawan nyari gawe alhasil banyak yg dominan update masalah lowong kerja banding nyari gawe entah karna nyari gawe baru entah yg ngurus males sekarang update masalah lowong kerja nyari gawe kaya kurang update mungkin interaksi sama usaha kurang,0,2
lambat daftar proses hambat pilih data terus loading,0,1
ripuh jiga nu ek daptar judol hampura da lier tenyaho,0,1
loker yg sedia sedikit sulit cari kerja lewat,0,1
daftar akun pasuk kode otp verifikasi akun masuk gmail beberapa kali coba tetep nomer otp email lalu coba daftar ulang etik email satu tetep masuk kode otp pak bagaimana udh harap lewat apk kerja harap daftar tak bisaaa huhuhu,0,2
inshaallah berkah,1,5
sampah daftar loker byk nomor yg kenal masuk telpon whatsapp,0,1
terima apk karna kdm download tp lama lamar jangan kan panggil riview hrd engga ngapain buka loker klw direview,0,2
tetap susah nyari kerja pakai ijazah,0,1
maaf bangt mah kode otp muncul padahal alamat email bener kode otp takut salah guna soal masuk pake nomer nik baik sistem memang hadir apk bagus mudah cari kerja,0,1
apresiasi ada nyari gawe bentuk dukung perintah wadah cari kerja baik banyak sekali bug salah daftar bagi data alamat isi sempurna,1,4
bingung coba masuk ttap kira main kali orang betul cari nafkah malah main palsu,0,1
nyari kerja paling ribet,0,1
knapa gabisa instal appstor,0,1
ribet masa masuk guna sandi,0,1
aplikasi perlu banyak baik keluar lalu masuk guna sering otomatis logout padahal aktif latar belakang fitur upload ijazah terus minta izin meski beri akses tampil kolom input nilai akhir tampak beranta notif tulis syarat blom penuh kurang responsif baik misal apk blom siap mending tes dulu dipublish trs banyak keluhankan asa apknya kurang profesional gitu,0,2
tambah fitur sortir manual auto sort rapih,1,5
alam kerja wajib isi bagaimana cari kerja punya alam kerja usaha bagaimana baru lulus sekolah bagaimana alam kerja wiraswasta apk untuk alam kerja suatu usaha,0,1
cape buka apk klo ngisi data cek email kmbali apk trus otomatis logout,0,1
kerja sekuriti,1,5
masuk login email password padahal sistem simpan perlu terus yg punya skill daftar latih skillnya pernah ajarin punya skill punya capai isi beberapa wajib isi bagaimana yg cuma lulus sd smp ahli kerja update lowong kerja cuma yg maksimal tahun alam yg punya alam gimana tah,0,2
parah banyak bug keluar sendiri terus pas isi data baik bug susah buat isi data gmn mulai cari kerja,0,1
apk karna punya alam minimal tahun ijazah minimal bla gimana nasib no no pak,0,1
apa daerah jawa bagai mana,1,4
tanggal seleksi jelas awal lonching krim lamar hari status lamaranya lamar kirim jelas lanjut,0,1
bantu sekali,1,5
banyak masuk lperusahaan update usaha tetep hatriya lowong kerja,1,5
utk fresgraduate ngelamar karna mentok alam kerja yg sifat wajib kecewa,0,1
baik update banyak kurang ad alam,0,1
bulis man mulut doang,0,1
coba moga teknologi yg mudah masyarakat terus kembang harap banyak dampak baik kriminalitas yg jadi terkadang banyak faktor ekonomi moga mudah lapang kerja dapat kerja sejahtera rakyat kurang lapor kriminalitas bentuk apa,1,5
buang buang anggar,0,1
baik upload dokumen upload minta izin galeri terus padahal izin semua,0,1
pa dedi mulyadi,1,5
yuk variasi lowong kerja ajak pt padat karya big company startup buka lowong loker yg marketing terus gada beda integrasi sama disnaker kabupaten kota jawa barat langkah kecil harap besar jawa barat tong waka diagulkeun saacan atas anggur jawa barat serap kerja,0,1
alhamdulilah online sekarang cari peluang kerja apk nyari gawe kab sukabumi jawa barat mudah mudah cepat perintah jawa barat kang hj dedi mulyadi,1,5
ko sayah masuk yah daftar beres keluar sendiri pas masuk ko gabisa yah,0,2
ribet wajib ngisi alam kerja sampe nomor bos sebutin detail ribet mh sekali bikin ribet rumet nyusahin aduhh,0,1
maaf indonesia tiap ngelamar kerja batas usia,0,1
mo daftar akun pas ngisi propinsi ad pilih ny wajib disi bagaimna mo bkin akun pilih ad,0,1
banyak eror masa jumlah loker cuma usaha kata jakarta luar jakarta gabung nyata cuma hoax doang,0,1
lamar kerja dikit anj malah alam semua gitu mandang gender usia,0,1
kode otp kunjung nongol harus perintah selalu busuk,0,1
blm banyak lowong,0,2
apk eror masa nunggu kode verifikasi email lama masum masuk email baik,0,1
memang benar cari kerja sesuai ucap gubernur gada batas usia gada batas alam asli alam gada interview panggil lanjut kait alam kerja segera baik,0,1
sulit atur profil pribadi wajib isi alam kerja mulai alamat usaha surat kontrak nama kontak atas usaha belum sulit karena kontrak kerja lama akhir punya banyak informasi detail usaha tempat belum kerja,0,1
bikin akun ribet close apk cuman pindah apk langsung buat awal ribet sumpah mana kode verif email masuk masukk baik,0,2
lambatt loadingggnyaaaaa,0,1
baharu suli isi data diri isi data utama laku upload foto selalu logout sendiri,0,1
fetch dokumen atur sdh izin tetap fetch galeri ambil pakai foto malah masuk baik sistem susah calon lamar,0,1
daptar aktip sama nomer hp aktip tetep daptarin,0,1
bagus cocok buat yg cuma tamat smp umur ubek kaya apa minimal smk sma alam minimal tahun ojol dah paling bener buka usaha sendiri punya karyawan orang alhamdulillah,1,5
baru masuk buat daftar masuk identitas ktp camat pilih apl sebut kec gunung sindur,1,4
geura update ah keur ngalengkapi dokumen ujug suruh izinken da beres setting kabeh angger keneh kekeuh kudu buka atur stress,0,1
tambah file kuat data segera baik,0,2
bikin gausah segala bikin pindah akun glik selalu error gin cerita mah mudah mudah akan sulit guna rakyat buang buang anggar,0,1
udh daftar pas masuk malah susah email sandi salah daftar nik daftar gmna udh daftar tp susah masuk,0,2
hari nunggu kode verifikasi gk huh ah,0,1
aplikasi banyak bug kode otp kirim via gmail kaga refresh kaga depan bikin cepat penggiriman kode otp upload dokumen kelas perintah banyak bug,0,1
moga kerja yg sesuai dngan mampu,1,5
aman takut kayak vaksin jkn data aman,1,4
banyak kelemahanya apk masa upload file malah logout pas login balik malah mulai awal parah la,0,1
kesini kdm,1,5
buka login terus email passwordnya panjang ribet buat pin masuk simpel moga baik,1,4
sedikit sekali lowong kerja,0,1
daftar nyari gawe otp pernah sdh ngulang tetep dpt notip kode otp pilih lewat wa cm lewat email,0,1
susah masuk kemaren minta kode verifikasi kirim kirim beberapa ulang kirim hari,0,1
mantap betul,1,5
masuk susah liat komen rating bintang hadeuh kacau yakin jadi,0,1
haduh gimana buat akun ngisi form bener periksa gimanaa solusi pihak developer kata ada nyari kerja mudah mana buat akun sulit,0,1
pw benar login,0,2
sedia ios jangan android only,0,2
mungkin tahap proses sempurna sama sekali bantu buruk bantu pakai titik,0,1
bintang dulu banyak komentar upload file izin galeri maaf pak bu baik masalah bug masalah upload dokumen susah mungkin baru pertama kali luncur kayak banyak bug bakal baik mudah mudah masalah bug atas buat cari kerja memang sedang butuh kerja,1,4
emang negara bikin ribet kerja bikin susah minta,0,1
warga asli cikarang selatan kabupaten bekas loker daerah cikarang padahal cikarang banyak pt kenal kawasan industri besar diasean tambahin loker daerah cikarang prioritas warga cikarang sawah lahan tani ubah kawasan industri,0,2
coba daftar kode otp kirim coba kali kali tetep kode otpnya kirim,0,1
sesuai kira perintah banyak bug daftar pilih provinsi sana not found alhasil daftar bikin akun baik cepat,0,1
susah login,0,1
kembang lamar difollow up pihak usaha kayak cuma formalitas tiap hari cek kembang status lamar kirim seperti pernah buka hrd,0,1
lama nunggu verifikasi walpon udh gk pake kacauu,0,1
daftar login kata email sandi salah ganti sandi lapor masalah terang koneksi padahal koneksi stabil sama pusat bantu respon sama sekali baik karen bayak harap dapat kerja lewat,0,1
peripikasi email terlalu cepat email buka,0,1
muter terus sampe hari kiamat,0,1
te jelas ribet ruwet ngarana oge nyari gawe eweh gawe te jelas,0,1
butuh kan rusa banyak anggur tamat kola nyampe sd smp ngalumuk deui ren solusi,0,2
rek nyoba sugan sukses,1,5
