text,label,score
minus sedikit ngasih lowong sini,0,2
moga prodak kang kdm menagulangi semangat jabar moga jakarta ekonomi maju fasilitas lengkap semangattttttt pak kdm generasi siap sambut jabar maju,1,5
baik aplikasi mentah sesuai ulas upload dokumen susah buat alam kerja terlalu rumit masa upload kontrak kerja kan lucu,0,2
moga makin banyak lowong kerja kurang tingkat oengangguran warga jabar,1,5
akses lama ngisi semua masuk,1,4
kak masuk kan pt pt yg gunung putri sama yg karawang cikarang pt pt garmen gunung putri klo ngelamar ordal kak,1,5
mudah guna moga percaya,1,5
sampah penuh syarat padahal isi wajib ngelamar terus buat apa ngelamar ribet,0,1
afk nyari gawe mungkin sus orang jawa barat banyak loker daerah subang coba bandung timur lebih mntep,1,4
bantu sama skali daftr yah apa karna nik sumatra yah tp lama pindah jawa barat lgsg ktp jawabarat cuman kan no nik brbh tetep ngikutin lama tp almt brbh ngurus apa knpa pas gilir nyari gawe resitrasi yah smoga solusi,0,1
minta saring info lokernya hampir tipu loker apk info loker abk kapal cumi untung cari tau dulu nomer kontak yg tera info loker,0,1
izin galeri susah ayo butuh kerja masa kaya gin sulit pak dedi duh abi tulungan iye,0,1
plis update lowong kerja masa cuma cari lewat cari perkejaan update apa dalam sama pt tingkat cari masa cari pt sedia ribet lengkap foto propil,0,1
cepat tingkat seleksi terima kerja takut jadi modus tipu,1,5
coba daftar,1,5
moga cari kerja mudah waktu fleksibel moga depan bantu masyarakat cari kerja,1,5
bagunan dagang,1,5
kode verifikasi otp muncul muncul gmail,0,2
kelas apk perintah masa kaya gin gua baru daftar gk karna kode otpnya gk masuk terus padahal coba beberapa kali sampe bela in bikin email baru tetep gk muncul kode otp sorry bintang dulu,0,1
mentok verifikasi kode muncul mulu,0,2
ciri khas apk indonesia angaran besar kualitas apk buruk banyak bug bnyak eror,0,1
sampah susah bener cari nama pt buka loker,0,1
sama jg kirim cuman stuck baca sajaa proses lanjut bagus tp sayang tetep oknum,0,1
lowong kerja lowong fiktif ngelamar satu proses kocak,0,2
luar jawa barat gk yah,1,5
maaf meng isi folmulir daftar ko bagi provinsi kce kab lurah isi solusi,1,4
akhir coba daftar error server koneksi tetep bintang takut apa apain uang negatif,1,5
jabar istimewa,1,5
luar biasa,1,5
syarat jangan banyak fresh graduate adain minimal smk sma,1,4
mantap pa dedi,1,5
kode verifikasi susah daftar payah,0,1
daftar mesti pake ktp padahal gmail login cukup,0,1
apps bagus cara daftar mudah fat respon liat nyata isi minimal lulus sma smk sarjana kaum dang mending sesuai realita,1,4
lowong sedikit maha ie pa dedi,0,1
asa eweuh wae panggil geus rek sabulan ngalamar teh haha,0,1
banyak baik alami keluh dapat kode opt padahal jelas gmail salah berapa kali tunggu menit terus terus tunggu alhasil nihil satu kode otp masuk gmail,0,1
bener buat banyak bug boomer sama milenial urus anggar paling gercep gilir pelihara kabur,0,1
maaf bintang dulu bisa usia tahun kerja justru usia tahun atas butuh makin tingkat usia tahun atas sama semangat kerja,0,1
apk jlas hoax daftar pke akun yg aktf bs masuk,0,1
kacau baik buat orang jawa barat,0,2
kurang rakyat banyak istilah yg pusing orang awam berijsah tinggi kata rakyat kecil tp ttp orang tentu yg nikmat baik,0,1
aplk aneh isi kolom semua tnya jurus klo anggur lulsn sd gmna isi aplks utk org gk mmpu org iseng seh bukn utk mudah tpi mlah sulit,0,1
gabisa daftar beberapa kali,0,1
orang nyari kerja syarat minimal kerja tahun semua,0,1
beri akses izin galeri mengupload foto ijazah paklaring,0,2
ka baik upload dokumen mulu ijin padahal atur semua media ijinkan kak moga keluh tanggap cepat usaha sedia lowong makin banyak,1,5
bagus sekali,1,5
is the best,1,5
moga bantu mudah cari loker jawabarat utama kota sukabumi bebas pungli calo calo tanggung jawab,1,4
susah bikin akun gagal terus,0,1
sampah daftar apply login ganti password beberapa kali tetap gabbisa login parah sampah asli,0,1
sempurna izin akses galery tambahin kelulus,0,1
bug pas verifikasi otp bnerin,0,1
pasu dokumen pas pilih kamare jepret eh balik mental pilih via galery izin akses galeri,0,1
jelek buka selalu login,0,1
nunggu otp via email lama menit kode otp pilih email ato wa udh nunggu menit apk keluar sendiri,0,1
kendala kode otp masuk masuk masalah,0,1
yg luar biasa penting cari kerja,1,5
baik kategori alam kerja harus jngan wajib soal banyak orang kerja banyak punya surat terang kerja atau alam sama sekali baik,1,5
dlu karna susah daftar dapat otp gmail cerah lur sya ulang brkali tetep gk notip otp gmail,1,4
is the best aplication bantu,1,5
jangan ngelamar daftar kode otpnya muncul baik,0,1
mantap nyari gawe,1,5
good luck,1,5
maaf bintang fiturnya buat update surat alam susah mulu ijinkan galeri foto udh ijinkan tetap enggak fiturnya susah buat akses,0,1
baik izin galeri izin tetap upload dokumen kerja semua usaha kapal cumi macam scam masa kelas provinsi jawa barat filter mana betul cari karyawan sama jual manusia perhati teliti penuh tanggung jawab hapus semua loker kapal cumi macam jangan warga jawa barat malah jebak scam kerja kapal cumi macam miris,0,1
terlalu ribet bagus jobstreet loker banyak sana coba pihak nyari gawe update biar simpel masukin foto luar bntr masukin email sandi terus ber ulang ulang kaya gitu,0,1
daftar kerja udh bagus tahap awal makin kesini kaya susup perhati takut apk jadi tppo bahaya,0,1
bagi biodata wajib punya alam kerja lalu bagaimana fresh graduate punya alam kerja apa baik,0,1
iphone yah soal appstore,1,5
batas usia berat pencaker,0,2
awal udh bagus lancar waktu isi data malah log out terus sayang,0,1
apa coba buat perintah selalu jelek upload ijazah sama transkip nilai gabisa padahal izin atur tetap gabisa big,0,1
isi data diri,0,1
parah kode otp email muncul muncul hari,0,1
susah daftar nomor verifikasi muncul email baik,0,2
masuk apk login ribet perintah khusus devoloper sempurna pihak perintah segera bekerjasama usaha yg jabar lamar pilih lowong sesuai kriteria lowong apk sedikit,0,2
ken yg cepet krj dah msles ngirim yg cuman formalitas dsini cepat daper krj,0,1
kirain cari kerja program perintah jabar nyata isi sama kaya lowong kerja yg haah percuma install solusi yg nyari kerja cuma buang buang waktu,0,1
otp lama kali muncul ny,0,1
juta lapang padel,0,1
seru ku kira gem epep mek,0,1
ngebug ambil file gallery padahal izin atur akses media baik banyak anggur jawabarat yg punya sempat saing jawabarat banyak ordal dukung yayasan tentu yg bahkan warga jawabarat,0,2
cacat buat akun gmail baru buat login tetep salah,0,1
bagus cuma pas upload foto ko terus padahal izin tetep baik sukses terus jawa barat pak dedi mulyadi atas perhati warga jabar moga sehat selalu aamiin,1,4
alhmdllah bupati lucky hakim,1,5
yg alam tak banyak bantu,0,1
ituu upload ktp masalah gitu takut buat aneh,1,5
aflakisi bantu sekali butuh kerja butuh kerja,1,5
ribet terlalu banyak data yg isi,0,1
masukin data dokumen gabisa poto login apk gajelas ngeselken cek orang sunda namah pa dedi benerin apk rusak,0,1
apa mo ngelamar ko alesan lengkap alam kerja padahal alam kerja isi simpan tp isi jelas baik,0,1
hadeh indonesia tuh guna sistem batas batas kerja batas usia sekolah utama alam minimal tahun kan ngotak kerja lamar kerja baru lulus sekolah alam kerja hampir semua lowong kerja minimal tahun alam macam bagaimana pak dedi pak dedi hapus tuh minimal maksimal usia sama kerja gimana masyarakat maju nyari kerja buat makan banyak atur,0,2
background didik alam gue mesin ai match cuma usaha garmen jelas alam masa match,0,1
bagus effisiensi development bom sempurna data usaha bom semua masuk otp kasih opsi gmail nomer hp wa free mudah mimin thanks os hp bawah kendala,1,5
tetep ja daftar susah alam kerja semua ilang surat surat tahun jga lupa kata ijasah,0,2
kak bug isi form didik semua ku ikan izin pemberitahuan tetap muncul tetap pasu bukti dukung galeri,0,2
maaf edit tulis wilayah kec jatibarang kab indramayu kel ds lobener lohbener,1,5
butut na lot pis teu akses kudu baik deui yeuh kdm maha cenah,0,1
tetep apk syarat pt alam kerja thn banyak khusus perempuan,0,1
ribet sedikit login,0,2
jujur bagus fresh graduate friendly,0,2
moga jadisarana buat anak jabar cari kerja,1,5
kira prusahaan nyah do plautan nyah ternyahta cuma nelayan yg baru nyau,1,5
baik bug bagi upload file foto beri setel izin merespon balik atur kelola izin pihak developer tingkat,0,1
daftar akun susah,0,1
verifikasi lewat email pernah no otp,0,1
alam kerja wajib isi bukankah apk orang cari kerja sama sulit org alam kerja sulit cari kerja,0,1
kembang diskominfo jawa barat dapat banyak dapat bug,0,1
ribet lengkap profil wajib semua orang nyari kerja tuh pernah kerja usaha punya nama rusa sebut,1,4
berkas file saran guna foldee pdf,0,2
gampang aplikasinua terus bantu ai usaha yg paking cocok profil ahli alam kerja tinggal banyakin yu usaha yg ngasih lowong sini,1,5
bikin orang indramayu mah loker banyak indramayu,0,1
udh ngisi daftar akun udh bner smua data gk malah suruh periksa data form udh hari trus gk ngerti,0,1
coba daftar hari jumat baru kode verifikasi hari senin coba tingkat,0,2
moga aplikasinua rame banyak usah jabar ikut posting lowong sini pantau baru kabupaten subang open loker sukabumi,1,5
kurang well prepared ni harus direlease publik segala siap mah daftar ratus ribu lokernya cuma biji doang,1,4
terobos positif masyarakat sejahtera,1,5
cuma tampil lowong usia maksimal tahun mending usah bikin banyak orang atas mampu alam semangat kerja jangan bikin batas umur tembok buat rezeki orang,0,1
berterimakasih belum ada apk suka tampil fitur simple lengkap profil heran alam kerja kategori wajib masalah bagaimana pernah kerja kerja dagang tani harus isi kolom nama usaha jabat evaluasi maaf bintang dulu kalian mudah deteksi,0,1
jelas sekali buat pake ai coder ui terlalu comon ux kurang nyaman proses upload file lama mungkin server pake baas,0,2
kendala daftar,1,4
ijin baik upload cv karna sulit upload cv izin izin,0,2
masuk izin galeri buat upload filenya,0,1
yg bawah ijazah sma gk da harap,0,1
tos kritik alhamdulillah langsung beres masalah otp waktu registrasi na hatur nuhun,1,5
aing th da lalak naha ni dibutuhkeun na awewe kab kudu nu pangalaman wa syaratna th sataun merenan ath moal aya nu gaw tuluy can alam maha gaw na pan merenan nu can pangalaman btuh gaw tara anjing perusahaanna monyet percuma lahh mnding hapus deui yeuh apk na ulah terbitkeun playstore,0,1
daftar kode lama kirim pas kadaluarsa kode,0,2
mana kode otp menit yg masuk,0,1
indonesia semua buat perintah hasil selalu buruk,0,1
apa dah susah buat daftar akun nunggu kode otp kaga masuk kode email udh berapa kali ulang tetep kaga kode masuk email udh nyari gawe susah sulit daftar akun sini buat nyari gawe susah,0,1
mungkin baru rilis yaa makanya pas daftar kode otp masuk masuk,0,1
otp masuk masuk,1,4
isi data nunggu verifikasi lewat email pagi sore masuk no otp email sy eror guna semua anggur,0,1
otp gk masuk masuk help dev,0,2
mentok bagi nerima kode otp,0,1
kode otp muncul email padahal ulang kali kirim ulang apa baru,1,4
daftar buat akun notif kode otp lama,0,1
nubaleg atuh dedi sia teh nyien teu pake kehed nungguan otp meuni jiga nungguan hayam jago endogan bangsat,0,1
susah kode otp padahal email bener gaada notif masuk email,0,1
pak dedi pokonamah well guna pis jawa barat tehh,1,5
otp masuk email,1,4
tidla masuk otp email,0,1
kode otp masuk masuk,0,2
ngasih email aktif benar kode pernah muncul gimana ni,1,5
masukin kode otp mnt lama tunggu gx masuk kode ganti beberapa email tetep masuk kode otp,0,2
sayang gabisa login terus otp nyaa padahal email sesuai,0,2
baru daftar pas verifikasi kode otpnya muncul padahal email no telp bener baik,0,1
kode otp sulit masuk email menit tunggu terus,0,1
telat lelet kode verifikasi email gagal terus niat nyari kerja susah minta ampun allah,0,1
kode otp gk masuk masuk email,0,1
nunggu otp dah kya nunggu bantu lama,0,2
email kode,0,1
kode otp masuk email,0,1
payah suruh verifikasi via gmail tetep gaada verif masuk menit nunggu,0,1
gj aying gw lamar posisi gw baru lulus smk semua loker syarat tahun alam bidang kait mah gda peluang buat lulus baru smk,0,1
masukin foto minta izin buka atur padahal atur off semua on,0,1
beranta ngisi biodata susah minta ampun,0,1
email kode otp,0,2
terima kode otp email,1,5
dapat otp daftar akun sebagaj cari kerja kunjung pusat bantu baik,0,1
efektif buanget dikit pilih lokernya,0,1
sampah kode otw kirim mana nunggu menit biar minta kode tetep kode otp login kata simpel malah ribet,0,1
kode otp email tak kunjung tiba padahal email sesuai maaf bintang dulu hapunteun,0,1
jam kode otp masuk email kode otp masuk email kata bantu warga jabar daftar susah,0,2
ngirim kode otp cek kirim kirim mana kirim ulang lama menit hadeuh,0,1
kagak pilih daerah,0,1
mudah han mendpt kan kerja apk ami in sukses selalu buat apk nyari gawe jwa brt,1,5
gagal terus daftar kata kode otp kirim email tp pernah muncul kali coba malah capek ngisi data baik pak,1,5
kode otp lama,0,1
kode masuk mulu semua apk perintah emg se ampas,0,1
verifikasi otp masuk email,0,1
bintang dulu beberapa kali otp muncul email,0,1
eror masa daftar kode otp muncul email puluh menit masuk masuk kode otp baik,0,1
kode verifikasi masuk padahal ganti email tetep gabisa,0,2
apk parah kode otp kasih waktu menit kode otp sama sekali kirim gilir kirim waktu habis kode otp kadaluarsa gimana pak dedi,0,1
bantu cari kerja,1,5
pa dedi kode verifikasi henteu muncul wae pa dedi kmh bde login pa dedi,0,1
kendala pak pas verifikasi email nongol pin padahal email benar aktif udh tes kirim pesan masuk pas nyoba jd,1,4
susah masukin otp valid kadaluarsa terus padahal waktu buat masuk otp lama,0,2
iseng download walopun punya usaha sendiri punya ijazah tinggi sukses buat jabar salam sumedang,1,5
kode verifikasi email kacau email padahal email benar semua kelas perintah kacau begini,0,1
emang aplikasina bner tinggal ngalamar ges saminggu can ay interview wae lila berkas na aktif sarua jeng bohong nyien teh,0,1
beberapa kali kirim otp terus ganti email tetep kode otp,1,5
susah kode otp,0,1
kode otp kaga muncul,0,1
muncul muncul kode verifikasi padahal gmail kirim aplikasi benar kode otp tau komen,1,4
paki iphon,1,5
baik izin akses galeri upload dokumen ijazah alam kerja padahal izin akses galeri file manager setting hp tetap notif minta izin upload dokumen baik pemograman guna android versi,0,2
teu daek menang kode otp,0,2
sakirana can siap mah tong waka rilis euy urang mimiti geus nyieun akun rek login password salah wae padahal mh ges bener ges milih reset password link resetna teu kirim kirim rek kana email atawa sms sarua euweuh duanana pamarentah emang jarang aya nu bener sok beneran deui aplikasina ngke ges maksimal karek rilis deui,0,2
warga jabar ikut bangga moga makin mudah sedang cari kerja,1,5
kode otp jam tunggu haduuh baik,1,5
bagus kurang pas login pas daftar kirim kode otp muncul,1,4
buat ngisi bahasa kuasi utama bahasa daerah dulu baru bahasa asing baik masa tiap buka login terus,1,4
kode otp kaga kirim,0,2
kang dedi kang dedi aplikasi broken masa kode otp kirim malah waktu tunggu menit fix,0,1
sistem orang pak dedi gubernur jabar bikin apk buat warga larang usaha buka loker jabar keluar lalu apk asaanmah hese lama atas usaha sendiri orang luar jabar tentu guna sistem orang moga cita cita besar pak dedi capai aamin,1,5
moga lancar,1,5
gagal buat akun beberapa kali nyoba baik segera yaaaaaa,0,1
baik upload foto padahal izin akses galeri tetap,1,4
bagus cuma beberapa bug bug logout otomatis terus pas upload berkas berkas file manager update lanjut baik,1,5
ngak instal,0,1
gubenur sia kaca apps jb pintar usaha naro loker formal doang biar lapor buat kemenker nama buang buang anggar maklum kader partai,0,1
pas registrasi bagi ngisi provinsi kabupaten desa gabisa gaada pilih susah simpan data,0,2
mantap jawa barat istimewa,1,5
adakan ios ios,1,5
masa alam thun minimal tahun lohh yg baru luluss skolah yg alam fresh graduate gabisa daftar allahh tetep ajaa susah nyari kerjaa apk bantu sama sekali pak dedy mulyadi,0,1
maha teg nik geus teurdaftar cenunah nu neang gawean ari asup dai teu boro geus beurharap sugan aya jalan keur boga gawean,0,1
ngirim otp lama,0,2
jangan bikin sanggup kasihan orng yg hidup susah malah bikin susah,0,1
daftar kendala verifikasi nunggu menit kali sampe menit langsung saha keluar,0,1
lowong kerja rata seluruh jawa barat tingkat sosialisasi usaha usaha baik banyak kurang,1,4
jabar makin istimewa,1,5
waduh kirim kode verifikasi pas daftar lama scroll loh gmail pas buka apk malah awal pas daftar,0,1
mana kode otp kirim,0,1
mantaph suport,1,5
baik sulit dapat kode otp tunggu tunggu menit kode otp kirim,1,4
lama kode otp nunggu menit terus email mana ulang nunggu menit tetep,0,1
baik buat rakyat jawa barat bapak gubernur jabar kdm tetap yg baik hati masyarakat jabar,1,5
nyaa baik sayah terima kode otp nyaa padhal email nyaa udh bner kode otp nyaa,0,1
verifikasi otp gmail masuk,0,2
cuma betul lahir jakarta gk daftar aplikasi jelek boss,0,1
apa daftar akun baru suru isi gmail kuis gmail aktif gadaa sama sekali pemberitahuan kode verifikasi bahkan tunggu menit coba kirim ulang tetap sama hasil coba buat ganti gmailku barang kali yg salah nyata sama ngaruh kode tetep muncul pesan gmail,0,1
mantap bpak kdm moga manfaat tamat sekolah jd anggur,1,5
usia jangan jadi patok banyak warga jawab barat yg usia atas atas punya kerja,1,5
bagus buat cari lowong kerja moga makin banyak lowong kerja amin izasah sd masuk cari lowong kerja tukang sapu,1,5
susah masuk ulang kali kali,0,1
program pemprov jabar mantab bantu sekali lamar kerja,1,5
area ny blm cakup bekas cikarang sedikit pihak usaha bnyk yg blm tau cari subjek temu etik lowong yg cari,0,1
loker gk wkwkwk,0,1
upload dokumen dukung segera baik,0,2
cara masukin ijazah sama transkip nilai ko,1,4
eror lebih bagi izin galeri gk yg izin simpan gilir udh nyalahin izin simpan ny malah gk pokok kgk izin galeri gk upload file via galeri kamera burik soal klw via foto benerin,0,1
simpel suka banyak gen,1,5
apa beda kaya joobstreet apk cari banyak orang lulus no alam alam kerja tukang masak kerja gudang asal persyaratanya masuk akal login dwnlod eh smk sma mana alam tahun yaaa bingung orang yg cari kerja gin banyak nganggur lulus sarjana sma smk doang sd smp punya ijasah banyak apa pekerjaanya asal layak,0,1
upload foto ijazah malah crash restart halaman log in,0,2
udh oke simpel mudah ajar cuma tiap kali login pake email sama password padahal harus cukup pakai pin doang si masuk,1,4
susqh upload gambar doc,1,4
mantab jabar istimewa,1,5
tambah alam kerja,1,5
yg anggur lulus sd liat liat buka loker smua orang gmana,0,1
keren aplikasi mudah orang buat nyari kerja keluh cuman login masuk email sama password ribet gitu,1,5
jls suruh upload tpi pdhal ijinkan semua atur tpi pas upload surat terus,0,1
baru milik beberapa masalah contoh temu beberapa masalah bug keluar sebut masuk sebut login mereporkan unggah meng upload foto berkas contoh ijazah sebut suruh atur minta izin dulu ecek kali kali memang mengijikan tetap baik,0,1
alhamdulillah mudah resfeck tim jabar istimewa kereen,1,5
gajelas alam sertifikat alam sama sertifikasi teknik bidang lieurrr pa dedi mah ahhh,0,1
bintang krna kdm sedikit advice isi data se simple belah bsa ckup ngisi poin penting gprlu smpe data atas lama yg sifat urgensi,1,5
tiba keinstal sendiri sad,0,1
selalu error bikin gregetan,0,1
login terlalu ribet isi data diri upload ktp bagus job portal klo login tinggal pake google auth login pake gmail baru nnti kirim lamar kerja lengkap data diri,0,1
moga program turun angka anggur jawa barat,1,5
kendala upload file perlu izin buka galery padahal izin atur semua ceklis keluar masuk masuk email password gaada fitur auto simpan email pass,0,2
hese asup hadeh,0,1
daftar akun memvalidasi data terus muter terussssss,0,1
isi lurah camat,0,1
moga bantu warga jawa barat hidup hari hari,1,5
lokernya sedikit baru mungkin aplikasi perlu tingkat misal klau tiap login ribet masuk email kata sandi lgi,1,5
isi file unduh sertifikat ijazah gagal terus baik,0,1
mungkin baru luncur baru beberapa usaha beberapa posisi lowong tingkat daerah kabupaten bogor daerah subang,0,1
sing sukses bapak aing,1,5
bismillahirrahmanirrahim nyantol sugan pagawean,1,5
pak jauh lokasi kerja pas pencet kabupaten bandung barat,0,2
upload bs padahal buka semua izin baik bs semua hp,0,2
rek menang rek henteu ge da ngarumasakeun teu luhur sakolana poko na bintang weh keur bapak ainkmah,1,5
info loker atuh aa teteh,1,5
kendala bagi upload foto dokumen padahal diizinin semua login bagus cuma sekali biar ribet keluar terus masuk selalu suruh login,1,5
moga semua dapat kerja yg ingin mudah ammin,1,5
moga mudah cari kerja jawa barat,1,4
upload ijazah padahal atur semua izin centang,0,1
bagus ny moga manfaat cari lowong kerja kota depok gubernur kang dedi,1,5
rakyat kecil ngelamar kerja pakai foto ijazah asli yg nyalonin presiden ijazah diumpetin wkwkwkwkwk,1,5
bagus baguss,1,5
upload dokumen terang ijikan file ijinkan semua tetep upload dokumen file baik,1,4
server dukcapil cirebon masalah memang sekarang masuk sintren cirebon kab jga,0,2
mantap moga manfaat buat cari kerja yg indramayu,1,5
kurang harus daftar glik tinggal masukin akun glik susah bet masukin akun glik baik login gagal failed terus aneh,0,1
kerja baru sedia kota indramayu kota kota yg cikarang bekas karawang tasikmalaya tunggu kota yg lain server banyak sekali kendala yg harap segera baik harap bapak dedi mulyadi buat fresh graduated kerja,1,4
umur sy gk masuk jdi gk jdi tetap cari cari buruh kuli kbnkan umur pngalaman tahun wanita selalu butuh laki laki nganggur,1,4
moga anggur jabar kerja layak terima pkh kurang amiiin,1,5
hatur nuhun pemda jabar mugia katampi aya padamelan kanggo urang sadayana,1,5
bagus buat rakyat kecil mah sedih butuh didik alam kerja anda indonesia yg nerima rakyat jelata yg sempat sekolah lowong kerja orang pinggir mimpi dotcom tinggal indo sedih makanya bnyk jd tkw negara orang sana gk sekolah jg yg pntg mau kerja nama sisih negara sendiri sedih sekali,1,5
apk meng upload doc sertifikat via galeri foto,1,5
moga fresh graduate lulus smk,1,4
kelola bug cepat baik,0,2
usaha minimal alam tahun alam banyak surat lamar kadi hapus pak buat syarat butuh alam kerja,0,1
berkah barokah warga jabar,1,5
kenapaa yaa susah masuk padahal email sama kata sandi bener,1,5
moga orang jabar punya kerja aminn,1,5
tetep usia patok sebal kepala memang benar butuh kerja tiap masukin lamar maaf usia penuh syarat wkwkwkwk,0,2
moga kerja sini,1,5
pertama download tampil user friendly bagus apps siapkerja buat pusat sayang lokernya rata rata patok alam minimal tahun kerja bidang kait lamar baru lulus beda bidang kerja susah aju lamar depan moga solusi lamar milik skill kurang ikan sempat tambah alam ilmu dunia industri semangat juang rupiah,1,5
hrd bodoh punya skill takut naruh lowong sini,1,5
warga jabar ikut nyari kerja jabar,1,5
muncul kerja sedikit lulus sma semua jenjang sd ataw smp bantu tingkat lulus mulai dasar dulu,0,1
susah ganti edit nik salah pasu data nik,0,1
sok ahh kudu digaskeun barudak,1,5
tambah didik,0,1
loker karawang banyak subang butuh kerja kang jual malah makin banyak hutang pinjem terus buat modal sepi beli cepat ada loker punya ijazah tinggi lulus sd sedia loker terlalu jauh misal karawang soal tinggal daerah rengasdengklok,1,5
moga lulus sekolah dasar kerja,0,2
keren pa kdm sukses selalu,1,5
lot ngunggah berkas,1,4
apk aneh udh kasih izin semua buat apk malah tetep gabisa upload foto,0,1
nyari kerja ribet tinggal buka nyari gawe info loker bandung sampe kabupaten lain semua tampil gampang paham daftar cepat mantap buat cari kerja jabar tinggal gas apply jabar istimewa,1,5
daftar pilih alamat provinsi gabisa stuck,0,1
good job keren era kdm mudah cari kerja,1,5
mantap aplikasi mudah mudah rekrut,1,5
mudah an tingkat dapat seluruh rakyat,1,5
coba dulu,1,4
padahal daftar bikin akun hasil pas masuk susah ket salah email password padahal isi benar,0,2
bagus kurang login harus gaperlu masukin email no hp sama sandi pernah login adain fitur simpan sandi email gaperlu nulis,1,5
bismillahirrahmanirrahim moga ada kurang angka anggur seluruh jawa barat aamin,1,5
banten dukung penuh segala upaya perintah perintah baik rakyat baik support segala atur yg,1,5
bagus mudah cari gawe,1,5
gubernur jawa tengah buat baik,1,5
bismillah moga ada nyari gawe kerja impi ikhtiar ingsyaalloh rezeqi dantang aminn,1,5
luar biasa antri langsung jabar istimewa,1,5
moga solusi,1,5
nuhun pa dedi ah sing lancarkeun rejekina pa sing panjang keun yuswa na pa sing jalma amanah amin,1,5
moga kerja syarat usia penting sehat produktif ajar,1,5
hebat mudah promosi orang nyari kerja bagus debest,1,5
hayang nu kahiji komen ah sugan we asli menang pagawean gara gara iyeu,1,5
moga program rencana kdm bapa aing rencana kurang anggur jabar realisasi baik selaras hulu hilir baik perintah usaha masyarakat milik andil besar laku tembus,1,5
gass keun bapa aing,1,5
banyak kacau baik umur atas jawa barat jakarta dekat jabar,0,1
izin upload gagal mulu padahal dah izin kan semua atur baik,1,4
worth it pakai linkedin,0,1
mudah paham moga kerja amiiiin allah,1,5
test moga sesui tuju mulia tuju jabar istimewa kdm ri,1,5
pertama kali bikin akun eror terus formulir isi isi keluh not found form isi data kabupaten camat baik cepat,0,1
moga manfaat kurang anggur jawa barat,1,5
sebenernya bagus kurang ramah punya alam kurang tahun tetep gabisa ngelamar karna alam kurang lowong alam kurang tahun fresh graduate,0,1
apk baru luncur pak gubernur harap maklum apabila kurang,1,5
luar biasa bapa aing gubernur jawa barat moga lewat kurang anggur jawa barat hatur nuhun pak dedi,1,5
cuang coba helan,1,5
bismillaaah moga bantu cari kerja amiiiiin,1,5
